feature,importance
Morgan_641,0.04934067279100418
Morgan_38,0.04554792493581772
Morgan_56,0.028476962819695473
Morgan_335,0.025087712332606316
Morgan_14,0.02337658405303955
Morgan_456,0.022341599687933922
Morgan_1017,0.02145972102880478
Morgan_307,0.021259894594550133
Avalon_154,0.01997719146311283
Morgan_728,0.018907738849520683
Morgan_551,0.01748865842819214
Morgan_932,0.016660768538713455
Morgan_766,0.015669044107198715
Morgan_773,0.015061113983392715
Morgan_974,0.014156803488731384
Morgan_252,0.013775939121842384
Morgan_58,0.013454758562147617
Morgan_544,0.012463846243917942
Morgan_218,0.012309963814914227
Avalon_297,0.012200787663459778
Morgan_338,0.012194781564176083
Morgan_320,0.011873104609549046
Morgan_193,0.011185075156390667
Morgan_665,0.010615603066980839
Morgan_878,0.010606435127556324
Morgan_625,0.010272178798913956
Morgan_981,0.010021636262536049
Avalon_307,0.00971744954586029
Morgan_69,0.008876191452145576
Morgan_582,0.008728173561394215
Avalon_429,0.00868351012468338
Avalon_168,0.008673928678035736
Morgan_875,0.008510101586580276
Morgan_113,0.008425739593803883
Morgan_225,0.00842188112437725
Morgan_354,0.008043850772082806
Avalon_228,0.007846524938941002
Avalon_202,0.007330276537686586
Avalon_139,0.007055283524096012
Morgan_698,0.006906867492944002
Morgan_680,0.006815667729824781
Morgan_216,0.006771990563720465
Morgan_365,0.006121995393186808
Morgan_78,0.005944205913692713
Morgan_415,0.005465812049806118
Avalon_170,0.005448224954307079
Morgan_459,0.005445411894470453
Avalon_461,0.00537177175283432
Avalon_379,0.005366736091673374
GC_Max,0.0053631942719221115
Morgan_29,0.005294443108141422
Avalon_206,0.005156510975211859
Avalon_506,0.005102380178868771
Morgan_954,0.0047673070803284645
Morgan_290,0.004740775562822819
Avalon_425,0.004711753223091364
Morgan_985,0.004697219934314489
Morgan_139,0.004585736896842718
Morgan_854,0.004406607709825039
Morgan_694,0.004334109369665384
Avalon_411,0.0042650350369513035
Morgan_393,0.004202572163194418
Avalon_234,0.004159837029874325
Morgan_34,0.004088263493031263
Avalon_308,0.004081261809915304
Avalon_453,0.00405794708058238
Morgan_39,0.003985595423728228
Avalon_314,0.0037454552948474884
Morgan_748,0.003739867126569152
Morgan_355,0.003655207809060812
Morgan_859,0.003613005857914686
Avalon_367,0.003609664738178253
Morgan_701,0.0035990343894809484
Avalon_106,0.0035843937657773495
Morgan_897,0.0035631596110761166
GC_Min,0.0035533462651073933
QED_ALOGP,0.0035161618143320084
Morgan_934,0.003515683813020587
Morgan_789,0.0035105913411825895
Morgan_840,0.0034604324027895927
Morgan_955,0.003456117818132043
Avalon_47,0.0034095216542482376
Morgan_165,0.0034088841639459133
PC_FractionCSP3,0.00337811466306448
Morgan_874,0.003341921605169773
Morgan_466,0.0032998421229422092
Morgan_46,0.003296484239399433
Avalon_291,0.003244966734200716
PC_RigidityProxy,0.003228183835744858
Morgan_510,0.0030994911212474108
Avalon_31,0.0030941213481128216
Morgan_244,0.002934476360678673
Morgan_419,0.002922941232100129
Avalon_11,0.0028248524758964777
Morgan_138,0.0027298005297780037
Morgan_378,0.0027290384750813246
Morgan_392,0.00259597459807992
Morgan_280,0.002504849573597312
Avalon_465,0.0024742165114730597
Avalon_97,0.002457807771861553
QED_MW,0.002449342515319586
Morgan_322,0.0024360977113246918
Avalon_433,0.002349053742364049
Morgan_168,0.0023324687499552965
Morgan_255,0.0023287038784474134
QED_AROM,0.0022983765229582787
QED_HBA,0.002253521466627717
Avalon_237,0.0022496399469673634
Morgan_1002,0.0021939286962151527
PC_HeavyAtomCount,0.002183384494856
Avalon_36,0.00213619670830667
Avalon_204,0.0021294348407536745
Morgan_823,0.0020862873643636703
Avalon_463,0.00207343976944685
Morgan_953,0.002045577857643366
Avalon_499,0.001973963575437665
Avalon_26,0.0019384046318009496
Morgan_382,0.0019174015615135431
Avalon_162,0.0019000895554199815
Morgan_120,0.0018821783596649766
Morgan_0,0.0018764787819236517
GC_Sum,0.0018331707688048482
Morgan_288,0.0018041260773316026
Avalon_35,0.001740741659887135
Morgan_222,0.0017175496323034167
Avalon_477,0.001668283948674798
Morgan_484,0.0016478024190291762
GC_Mean,0.001635646796785295
Morgan_309,0.0016312815714627504
Avalon_336,0.0016128483694046736
QED_ROTB,0.0015689232386648655
Morgan_62,0.0015508043579757214
Morgan_86,0.0015434934757649899
Avalon_434,0.001541312551125884
Morgan_841,0.0014935784274712205
Morgan_362,0.0014702939661219716
Morgan_51,0.0014540227130055428
Avalon_362,0.001436528516933322
Avalon_467,0.0014245674246922135
Morgan_123,0.001422604196704924
GC_Std,0.001352013205178082
Morgan_982,0.0012885320466011763
Morgan_399,0.0012654283782467246
Morgan_963,0.001254152157343924
Morgan_41,0.0012241025688126683
Morgan_116,0.0012014947133138776
Avalon_185,0.0011817320482805371
Avalon_346,0.0011717668967321515
Avalon_192,0.001164561603218317
Avalon_64,0.0011565022869035602
Avalon_134,0.0011505994480103254
Avalon_158,0.0011409273138269782
Avalon_129,0.0011244824854657054
Morgan_352,0.0011130537604913116
Avalon_261,0.0011029335437342525
Avalon_269,0.0011018285294994712
Avalon_115,0.001088154735043645
Morgan_132,0.0010874213185161352
Morgan_345,0.0010653850622475147
QED_PSA,0.001062023569829762
Morgan_11,0.0010448091197758913
Morgan_1004,0.0010270593920722604
Avalon_426,0.0010209707543253899
Avalon_487,0.0010038185864686966
Avalon_267,0.0009691808954812586
Morgan_749,0.0009541233303025365
Avalon_123,0.0009318548254668713
Avalon_480,0.0009061070741154253
Morgan_842,0.0008928048191592097
Morgan_816,0.0008576944819651544
PC_HBA,0.000853136065416038
Avalon_339,0.0008439066587015986
Morgan_506,0.0008321544737555087
Avalon_33,0.0008309148834086955
Morgan_326,0.0007823712658137083
Morgan_121,0.0007758261053822935
Avalon_491,0.0007747266790829599
Morgan_15,0.0007743207388557494
Avalon_142,0.000770251383073628
Morgan_144,0.0007672025240026414
Avalon_247,0.0007493602461181581
Avalon_302,0.0007339292787946761
Morgan_278,0.0007336672861129045
Morgan_511,0.0007299822173081338
Avalon_495,0.000723637524060905
Morgan_890,0.000723097997251898
Morgan_851,0.0007196619990281761
Morgan_545,0.0007186186267063022
Avalon_360,0.0007153878104873002
Morgan_863,0.0007123466348275542
Morgan_292,0.0006974010611884296
Avalon_474,0.0006848683697171509
Avalon_175,0.0006825079908594489
Avalon_3,0.0006815736996941268
QED_ALERTS,0.0006777907256036997
Avalon_62,0.000668156601022929
Avalon_432,0.0006546295480802655
Avalon_248,0.0006432647351175547
Morgan_305,0.0006335372454486787
Morgan_475,0.0006329707684926689
Morgan_310,0.0006024156464263797
Avalon_103,0.0005825159605592489
Avalon_469,0.0005782387452200055
Avalon_349,0.0005753133445978165
Morgan_227,0.000572292716242373
Morgan_274,0.0005700754118151963
QED_HBD,0.0005637554568238556
Avalon_256,0.0005632918910123408
Avalon_505,0.0005423000548034906
Avalon_306,0.0005348550621420145
Avalon_85,0.0005275775329209864
Morgan_736,0.0005202920874580741
Avalon_56,0.0005116855609230697
Avalon_98,0.0005071487976238132
Morgan_106,0.00048074335791170597
Avalon_183,0.000479741720482707
Morgan_493,0.000468405254650861
Morgan_249,0.0004671343194786459
Avalon_468,0.0004556595813483
Morgan_428,0.0004501446383073926
Morgan_342,0.0004326016642153263
Avalon_122,0.0004243653966113925
Morgan_710,0.00042265147203579545
Morgan_19,0.0004217624955344945
PC_Rings,0.00041574242641218007
Morgan_873,0.0004033287113998085
Morgan_2,0.0004015896702185273
Avalon_43,0.00039746949914842844
Morgan_761,0.00039001714321784675
Avalon_401,0.0003892751701641828
Morgan_609,0.0003819777921307832
Avalon_108,0.0003752122865989804
Morgan_877,0.0003741965920198709
Avalon_18,0.0003431825607549399
Avalon_141,0.00031480530742555857
Avalon_449,0.00031371662043966353
Avalon_292,0.000310226489091292
Morgan_245,0.00028541433857753873
Avalon_231,0.00028036179719492793
Avalon_232,0.0002713407448027283
Morgan_578,0.00027030330966226757
Morgan_980,0.00027027472970075905
Morgan_451,0.0002577945706434548
Morgan_918,0.00025495572481304407
Morgan_319,0.00024195265723392367
Avalon_53,0.00023477729700971395
Avalon_147,0.000233596219914034
Avalon_344,0.00022722016728948802
Morgan_35,0.00021968346845824271
Morgan_965,0.00021786328579764813
Morgan_300,0.00020807250984944403
Morgan_889,0.0002075053780572489
Morgan_114,0.00020126077288296074
Morgan_207,0.00019436267029959708
Morgan_178,0.00019403325859457254
Morgan_213,0.00017773742729332298
Morgan_5,0.0001757296995492652
Morgan_527,0.0001680151908658445
Avalon_377,0.00016543451056350023
Avalon_37,0.00016413695993833244
Morgan_94,0.00014872074825689197
Avalon_178,0.00014206940250005573
Avalon_216,0.00014016807836014777
Morgan_776,0.00014012723113410175
Morgan_259,0.00013954944733995944
Morgan_824,0.0001305434270761907
Avalon_160,0.000128598723676987
Avalon_386,0.00011752134741982445
Morgan_575,0.00010700669372454286
Morgan_16,0.0001055103784892708
Avalon_146,0.0001015064844978042
Morgan_724,9.894576942315325e-05
Avalon_241,9.67209562077187e-05
Morgan_266,9.392505307914689e-05
Avalon_369,8.990407513920218e-05
Avalon_309,8.858698856784031e-05
Avalon_184,8.749312110012397e-05
Avalon_279,8.406818960793316e-05
Morgan_826,6.92622343194671e-05
Avalon_403,6.903997564222664e-05
Morgan_825,6.561430200235918e-05
Morgan_303,6.42511949990876e-05
Avalon_75,6.2121769587975e-05
Morgan_263,5.7711407862370834e-05
Morgan_639,5.562457226915285e-05
Avalon_335,5.493392382049933e-05
Avalon_191,5.46152368769981e-05
Avalon_8,5.4099993576528504e-05
Morgan_96,5.4001458920538425e-05
Avalon_90,3.950734389945865e-05
Avalon_169,3.890513471560553e-05
Morgan_250,3.150862903567031e-05
Avalon_227,2.74383546639001e-05
Avalon_99,2.1335794372134842e-05
Avalon_230,1.8171958799939603e-05
Avalon_368,1.5367464584414847e-05
Morgan_725,3.476313167993794e-06
Morgan_996,0.0
Morgan_995,0.0
Morgan_997,0.0
Morgan_998,0.0
Morgan_994,0.0
Morgan_999,0.0
Avalon_54,0.0
Avalon_52,0.0
Morgan_993,0.0
Avalon_51,0.0
Morgan_992,0.0
Morgan_1000,0.0
Morgan_1001,0.0
Avalon_446,0.0
Morgan_1003,0.0
Avalon_49,0.0
Avalon_48,0.0
Morgan_13,0.0
Avalon_447,0.0
Morgan_12,0.0
Morgan_1005,0.0
Avalon_46,0.0
Avalon_45,0.0
Avalon_50,0.0
Morgan_972,0.0
Morgan_973,0.0
Morgan_21,0.0
Avalon_441,0.0
Morgan_975,0.0
Avalon_442,0.0
Avalon_61,0.0
Morgan_976,0.0
Morgan_977,0.0
Avalon_60,0.0
Morgan_978,0.0
Morgan_979,0.0
Avalon_59,0.0
Morgan_20,0.0
Avalon_445,0.0
Morgan_983,0.0
Avalon_57,0.0
Morgan_984,0.0
Morgan_18,0.0
Morgan_986,0.0
Avalon_443,0.0
Morgan_987,0.0
Morgan_988,0.0
Avalon_55,0.0
Avalon_444,0.0
Morgan_989,0.0
Morgan_990,0.0
Morgan_17,0.0
Morgan_991,0.0
Morgan_1006,0.0
Avalon_58,0.0
Morgan_9,0.0
Avalon_4,0.0
Avalon_5,0.0
Avalon_6,0.0
Avalon_7,0.0
Morgan_971,0.0
Avalon_9,0.0
Avalon_10,0.0
Morgan_8,0.0
Avalon_12,0.0
Avalon_13,0.0
Morgan_4,0.0
Avalon_14,0.0
Morgan_1009,0.0
Avalon_30,0.0
Avalon_16,0.0
Avalon_29,0.0
Avalon_17,0.0
Avalon_28,0.0
Avalon_19,0.0
Avalon_20,0.0
Avalon_27,0.0
Avalon_25,0.0
Avalon_21,0.0
Morgan_6,0.0
Avalon_22,0.0
Avalon_23,0.0
Avalon_24,0.0
Avalon_15,0.0
Morgan_1007,0.0
Morgan_1008,0.0
Morgan_1010,0.0
Morgan_1011,0.0
Avalon_44,0.0
Morgan_1012,0.0
Avalon_42,0.0
Morgan_1013,0.0
Morgan_1014,0.0
Avalon_41,0.0
Avalon_40,0.0
Morgan_1015,0.0
Avalon_39,0.0
Avalon_2,0.0
Morgan_10,0.0
Morgan_1018,0.0
Avalon_38,0.0
Morgan_1019,0.0
Morgan_1,0.0
Morgan_1020,0.0
Avalon_34,0.0
Morgan_1021,0.0
Morgan_3,0.0
Avalon_32,0.0
Morgan_1022,0.0
Morgan_1023,0.0
Avalon_0,0.0
Avalon_1,0.0
Morgan_1016,0.0
Morgan_880,0.0
Avalon_458,0.0
Morgan_879,0.0
Avalon_459,0.0
Morgan_876,0.0
Avalon_460,0.0
Avalon_462,0.0
Avalon_464,0.0
Avalon_63,0.0
Morgan_871,0.0
Morgan_870,0.0
Morgan_869,0.0
Morgan_868,0.0
Morgan_867,0.0
Morgan_866,0.0
Morgan_865,0.0
Morgan_864,0.0
Morgan_872,0.0
Morgan_898,0.0
Avalon_452,0.0
Morgan_896,0.0
Morgan_895,0.0
Avalon_454,0.0
Avalon_456,0.0
Morgan_894,0.0
Morgan_893,0.0
Morgan_881,0.0
Morgan_891,0.0
Avalon_457,0.0
Morgan_888,0.0
Morgan_887,0.0
Morgan_886,0.0
Morgan_885,0.0
Morgan_884,0.0
Morgan_883,0.0
Morgan_882,0.0
Morgan_892,0.0
Morgan_843,0.0
Avalon_473,0.0
Avalon_475,0.0
Morgan_839,0.0
Morgan_838,0.0
Morgan_837,0.0
Morgan_836,0.0
Morgan_835,0.0
Avalon_466,0.0
Avalon_476,0.0
Morgan_833,0.0
Morgan_832,0.0
Morgan_831,0.0
Morgan_830,0.0
Morgan_829,0.0
Morgan_828,0.0
PC_LogP,0.0
Morgan_834,0.0
Morgan_862,0.0
Morgan_861,0.0
Morgan_860,0.0
Avalon_470,0.0
Morgan_858,0.0
Morgan_857,0.0
Morgan_856,0.0
Morgan_855,0.0
Morgan_844,0.0
Morgan_853,0.0
Morgan_852,0.0
Avalon_472,0.0
Morgan_850,0.0
Morgan_849,0.0
Morgan_848,0.0
Morgan_847,0.0
Morgan_846,0.0
Morgan_845,0.0
Avalon_471,0.0
Morgan_951,0.0
Morgan_950,0.0
Morgan_949,0.0
Morgan_948,0.0
Morgan_947,0.0
Morgan_946,0.0
Morgan_945,0.0
Morgan_944,0.0
Morgan_899,0.0
Morgan_942,0.0
Morgan_941,0.0
Morgan_27,0.0
Morgan_940,0.0
Morgan_939,0.0
