feature,importance
PC_FractionCSP3,0.02167327193018713
PC_NumAtoms,0.020826330992180724
QED_ALOGP,0.019884498898256612
GC_Mean,0.01877204616516416
GC_Sum,0.018269381917838157
PC_RotB,0.01578357746940544
QED_ROTB,0.01556517174786489
QED_PSA,0.01533666354431792
PC_TPSA,0.014526931986938966
PC_LogP,0.014441775497966452
PC_HeavyAtomCount,0.014338561336312554
GC_Std,0.014336125531030522
PC_RigidityProxy,0.014042190950005978
PC_MolWt,0.013018895764629024
QED_MW,0.012849206690465919
GC_Min,0.010533205964236953
GC_Max,0.010058659080612369
Morgan_197,0.009865290904074777
QED_HBD,0.009361092131547965
PC_HBA,0.00861254864821763
QED_AROM,0.008476270204609282
QED_HBA,0.00847624024643875
Avalon_22,0.008242105199678067
Morgan_669,0.0071660078517101385
Avalon_37,0.007015063710120026
Avalon_204,0.006986371539774362
Avalon_384,0.006443118452214191
Morgan_213,0.006197725568632925
PC_Rings,0.0060977179189831195
Morgan_875,0.006033800832830973
Morgan_702,0.005933098455099028
Avalon_360,0.00581668313541784
Morgan_754,0.00575873745216382
Morgan_253,0.0057312069973649935
Morgan_428,0.005472000821288467
Morgan_841,0.005421766877005938
Morgan_263,0.005355166056709958
Morgan_548,0.005210745910647696
Morgan_745,0.005035637118159111
Morgan_483,0.005020669111387758
Avalon_329,0.0048943894029100845
Avalon_448,0.004862435676882038
Morgan_338,0.0048613972337947136
Avalon_14,0.004746625387785728
PC_HBD,0.004587149815177363
Avalon_314,0.004562615931740227
Avalon_98,0.004554957933130468
Avalon_286,0.004447014024613515
Avalon_242,0.004350377269786175
Morgan_770,0.004318260159440126
Morgan_955,0.0043141513709082134
Morgan_744,0.004202201773289544
Avalon_116,0.0041548251609849875
Avalon_184,0.004145271318905848
Morgan_218,0.004079261392852278
Avalon_358,0.0040047222191100015
Morgan_966,0.003992674036265546
Avalon_477,0.00398794320192454
Morgan_36,0.003979473537864549
Morgan_853,0.0039773713901565
Morgan_736,0.003958136691353927
Morgan_510,0.003941076964318338
Avalon_233,0.003940863935496344
Avalon_430,0.0038951590890993716
Morgan_695,0.003863141692908874
Avalon_231,0.003845292968572558
Avalon_330,0.0038329741978702318
Morgan_445,0.003816968391525669
Morgan_125,0.0037753851814131805
Morgan_363,0.003762088939662365
Avalon_18,0.0037283921312092584
Morgan_148,0.0036828160873734867
Morgan_946,0.0036215584495207648
Morgan_718,0.0036049984889974314
Morgan_389,0.0035655516642529484
Morgan_734,0.0035565429943911573
Morgan_860,0.0034450627080121936
Morgan_960,0.003425855269483792
Morgan_134,0.003417466202566489
Morgan_717,0.0033781757774254727
Avalon_348,0.0033573816013828684
QED_ALERTS,0.0033144372680567486
Avalon_309,0.003311400497357041
Morgan_220,0.003306320731990715
Morgan_626,0.0032814594789065134
Avalon_47,0.003110636077521642
Avalon_130,0.003055052342216929
Morgan_58,0.003042853666960847
Avalon_294,0.0030037013808634806
Morgan_303,0.002994510842687473
Morgan_12,0.002991159524158051
Morgan_490,0.002963777984773308
Avalon_207,0.0029492458613053735
Avalon_487,0.0029387819731464915
Avalon_423,0.002938465071461691
Morgan_755,0.002936264640812334
Morgan_41,0.0029339590475286614
Avalon_282,0.002926262819148139
Morgan_840,0.0029188062715751646
Morgan_926,0.0029010115879314746
Morgan_708,0.0028731211090983737
Morgan_250,0.002829817176284243
Morgan_290,0.0028220570296190097
Avalon_379,0.002821767654167741
Morgan_13,0.002808858097969745
Morgan_156,0.0027913836962559528
Morgan_981,0.0027896033596043384
Avalon_369,0.0027521429392739906
Morgan_848,0.0027456603938034786
Avalon_383,0.0027325786136077612
Morgan_831,0.002720822208144069
Avalon_24,0.0027081723579408766
Morgan_259,0.0026995228248370127
Avalon_132,0.0026829538632108367
Morgan_598,0.002678072825378836
Morgan_236,0.0026777806536333365
