feature,importance
PC_LogP,0.04079589234871105
QED_ALOGP,0.031236697921808658
GC_Std,0.02134055629231598
GC_Mean,0.017204601906520865
PC_FractionCSP3,0.01637890557347235
PC_NumAtoms,0.01603842501249018
PC_RotB,0.01593511806590659
GC_Sum,0.015651623181154078
PC_HeavyAtomCount,0.014851423486525137
PC_MolWt,0.014580452416186652
QED_MW,0.01295061551998153
Morgan_342,0.01250408256922745
Morgan_804,0.012417574362418603
PC_RigidityProxy,0.011762105622303612
QED_PSA,0.01143761536100679
Morgan_207,0.01114246557292551
PC_TPSA,0.010277529964782775
Morgan_508,0.009712081656735625
Morgan_551,0.009518056178490955
Morgan_252,0.009137982268745416
Morgan_851,0.008961976259838763
QED_ROTB,0.008691228548824778
Morgan_543,0.008353597299022224
Morgan_278,0.008348136373553597
QED_AROM,0.007746231049022644
Morgan_859,0.007080064535745959
Morgan_393,0.00684501529461369
PC_Rings,0.0061825128854277375
PC_HBD,0.0057323018675417906
PC_HBA,0.005729165103672086
Morgan_263,0.0054770498891434085
QED_HBD,0.005464256097384887
Morgan_475,0.005419042792637658
QED_HBA,0.005385882241306952
Morgan_511,0.005141937685563809
Avalon_47,0.005115955359155125
Morgan_766,0.00487889775296308
GC_Min,0.00398228059600825
Morgan_334,0.003908635664441099
Avalon_206,0.003903051901242181
Morgan_628,0.003895834628409526
Avalon_314,0.0038491879810908457
Morgan_550,0.003831197066295215
Morgan_352,0.003809249467265915
Morgan_991,0.0037543045403771345
Morgan_764,0.0037140681971035284
Morgan_842,0.0037039872099779055
Morgan_456,0.0037031899535674984
Morgan_585,0.0036817727884918966
Avalon_279,0.003591925752452157
Morgan_832,0.0035490046739545737
Morgan_164,0.0034689595664209112
Morgan_288,0.003449747030715181
Morgan_694,0.0034234220999089433
Morgan_5,0.003409737692498477
Avalon_377,0.003389667808661236
Morgan_2,0.0030924673932534023
Avalon_433,0.0029230661146285248
Avalon_209,0.0029064459829143494
Morgan_748,0.002886133285054535
Avalon_158,0.0028713021347235267
QED_ALERTS,0.0028652545495019936
Avalon_461,0.002856709255779413
Avalon_109,0.0028402062717261434
Morgan_877,0.0027285484563826855
Morgan_514,0.0027185771805565088
Avalon_405,0.002706289575740093
Morgan_736,0.0026940176328447184
Morgan_326,0.0025522190176257066
Avalon_97,0.0025108963750198545
Avalon_141,0.0024996056896372273
Morgan_355,0.0024250108395346853
Avalon_202,0.002422421249386065
Avalon_241,0.002421133483527054
Morgan_749,0.0024000687930781843
Avalon_419,0.002395738748716441
Avalon_128,0.002381420889387237
Morgan_545,0.0023634123826566907
Avalon_503,0.002317042325369833
Avalon_423,0.002311081577079341
Avalon_483,0.0023082606676420787
Avalon_193,0.0023010155541945887
Avalon_349,0.0022881427331050102
Morgan_290,0.002240947405888271
Morgan_132,0.0022260894124833262
Morgan_840,0.0022139886490589334
Avalon_56,0.0022095692481256144
Morgan_16,0.0021962804649445643
Morgan_138,0.002195787847801022
Morgan_854,0.0021922561867571628
Morgan_78,0.0021818776290220736
Morgan_62,0.002168716063109064
Morgan_965,0.0021354482271618482
Avalon_122,0.002123011442231404
Morgan_954,0.0020901640612356713
Morgan_11,0.0020818823370302906
Morgan_114,0.0020035140314814447
Morgan_825,0.0019963791147529614
Morgan_955,0.001964257943469965
Morgan_305,0.0019496284692633256
Morgan_763,0.0019437550376506713
Morgan_602,0.0019315375081055425
Avalon_118,0.0019255297865848652
Avalon_103,0.0019182203000107844
Morgan_878,0.0018802403103454896
Morgan_698,0.0018566942780122722
Avalon_115,0.001809487120228057
Morgan_336,0.0018072550980348144
Morgan_863,0.0017878876784680842
Avalon_393,0.0017807911048115064
Morgan_354,0.0017669410296854667
Avalon_90,0.0017324227012119272
Morgan_680,0.0017298474042443087
Avalon_487,0.0017078779942930322
Avalon_123,0.0016958806249822728
Morgan_242,0.0016952552604873777
Morgan_227,0.0016584890801474123
Avalon_386,0.0016459439134264575
Morgan_734,0.0016441698868608745
Morgan_378,0.0016435426320251679
Morgan_997,0.0016414613267942827
Morgan_369,0.0016373532958416043
Morgan_500,0.0016296082391949525
Avalon_480,0.001620105583787089
Morgan_950,0.001611752779314618
Morgan_474,0.0016108822873866192
Morgan_193,0.001588842807033951
GC_Max,0.001581784278987463
Morgan_884,0.0015814301501971737
Avalon_467,0.0015708728216199245
Avalon_3,0.0015705056188001546
Morgan_274,0.0015681317459217891
Avalon_8,0.0015670591328807281
Avalon_302,0.0015474385798013293
Morgan_894,0.0015353513562639967
Avalon_397,0.001531952702673852
Morgan_710,0.0015272674355234087
Morgan_392,0.001527163251656771
Avalon_223,0.001521998343552348
Morgan_420,0.0015166592050020365
Morgan_266,0.001514320193523191
Morgan_559,0.0015054823489069442
Morgan_613,0.0014900890140512385
Morgan_319,0.0014365347433951692
Morgan_29,0.0014259613121978831
Avalon_191,0.0014248724641464283
Morgan_39,0.001422374093223209
Avalon_136,0.0014033702591856757
Morgan_578,0.001400699559083768
Avalon_18,0.0013956277326560636
Avalon_339,0.001393406583619969
Morgan_413,0.0013921182654297185
Morgan_41,0.0013855477708392245
Avalon_477,0.0013819290558625527
Morgan_540,0.0013782837634722816
Avalon_207,0.0013725090939828819
Avalon_449,0.0013636668108115797
Morgan_980,0.0013633090724197066
Avalon_463,0.0013597976742798909
Avalon_256,0.001357933587198255
Morgan_104,0.0013530197686867768
Morgan_245,0.0013505028102518085
Morgan_115,0.0013485730589438882
Morgan_931,0.0013395372595428083
Avalon_495,0.0013350523033293681
Morgan_121,0.0013205210697895342
Avalon_19,0.0013201647634295377
Morgan_873,0.0013180514817164003
Morgan_268,0.0013074993291543905
Morgan_320,0.001298322183932889
Morgan_665,0.0012872875510373885
Avalon_367,0.0012802618587767806
Morgan_466,0.0012726543820797678
Avalon_53,0.001271665321500125
Avalon_297,0.001269170902204471
Avalon_175,0.0012690357947279045
Morgan_51,0.0012612979013152353
Avalon_379,0.0012591535298319965
Morgan_79,0.00125160767867371
Morgan_94,0.0012487720495103758
Avalon_52,0.0012462873545105591
Morgan_428,0.0012425563806383701
Avalon_231,0.0012412273977449831
Avalon_137,0.00124006678396025
Morgan_975,0.0012394842698803877
Avalon_161,0.001239477950690837
Avalon_430,0.0012323210644689794
Avalon_272,0.001231037043271736
Morgan_478,0.0012226465983596977
Morgan_292,0.0012225440834719972
Avalon_311,0.0012211041776843845
Avalon_362,0.001220680197355853
Morgan_345,0.0012206033721041348
Avalon_401,0.0012145421603734048
Morgan_259,0.0011953603237889845
Morgan_695,0.0011836442587859243
Avalon_106,0.0011806395697911243
Morgan_981,0.001180124122911308
