feature,importance
GC_Sum,0.028406211215715595
GC_Std,0.02615689822973266
PC_MolWt,0.025020898517158274
GC_Mean,0.02116855554209834
QED_MW,0.02116328834631333
PC_NumAtoms,0.02071942604946426
PC_TPSA,0.01910274467458305
PC_RigidityProxy,0.01823201124608365
PC_HeavyAtomCount,0.017652453244773242
QED_PSA,0.017600875390161398
QED_ALOGP,0.015566667844630311
PC_RotB,0.015353347987320883
PC_LogP,0.014392422222412979
PC_FractionCSP3,0.013538312414683097
GC_Max,0.013511573032761187
QED_ROTB,0.013092280483977673
PC_HBD,0.01106506798785647
QED_HBD,0.010591225988733638
Morgan_781,0.010057083336341888
PC_HBA,0.009817715161129854
Morgan_736,0.008795513242466467
Morgan_259,0.008790518845819691
PC_Rings,0.008425205226550894
Morgan_512,0.008140586975019747
Avalon_178,0.007812368398217728
Avalon_395,0.007228634131538883
QED_HBA,0.007081582723635975
Morgan_263,0.006655726376741899
Morgan_702,0.006493822194426364
Morgan_548,0.00597675212610594
Morgan_770,0.005941357251727919
GC_Min,0.0056830298354059346
Avalon_98,0.0056474594749433135
Morgan_15,0.005642409401736072
Morgan_734,0.005394796799302253
Morgan_667,0.0053549124893269495
Morgan_213,0.0051923111293067925
Morgan_559,0.005083298149259838
Morgan_218,0.004912374168952245
Morgan_102,0.004662261174744903
Morgan_338,0.004626040387449234
Morgan_846,0.004564794529629563
Morgan_960,0.004509638159684159
Morgan_551,0.0044582172446436105
Morgan_317,0.004455440156134043
Avalon_129,0.004447758600365859
Morgan_853,0.004411340274342699
Morgan_717,0.004390970593477769
Morgan_804,0.004337034278648935
Avalon_206,0.0043149973209143525
Avalon_282,0.00410583179075075
Morgan_598,0.003996713282003118
Avalon_314,0.003933148134576962
Avalon_231,0.0038835938455493418
Avalon_246,0.0038744789178861844
Morgan_203,0.003869539806547404
Avalon_177,0.0038182476172996488
Morgan_852,0.003676698588874433
Avalon_360,0.003522203207875817
Avalon_22,0.0034838773401450894
Morgan_955,0.0034771782094846194
Morgan_831,0.0034586890369420085
Morgan_926,0.0033895500805720697
Morgan_322,0.003377122491242874
QED_AROM,0.0033539818723765645
Morgan_841,0.003326864208812206
Avalon_415,0.003262347986747175
Avalon_348,0.003210227596958153
Morgan_445,0.0032031979949853663
Morgan_859,0.003143703788130007
Morgan_713,0.003138774452323521
Avalon_430,0.0031339645472852505
Morgan_13,0.0030847694367812195
Avalon_132,0.0030609680276457657
Avalon_306,0.0030468206133356683
Avalon_18,0.0030220023857386036
Morgan_514,0.0030180742556078816
Morgan_731,0.0030151662260647382
Morgan_510,0.0030038609707263905
Morgan_193,0.0029641034440978497
Morgan_389,0.0029505922814681996
QED_ALERTS,0.002943042169266158
Avalon_458,0.0029256323547963447
Avalon_294,0.0029029757151314483
Avalon_162,0.0029022626716033216
Morgan_419,0.002890238630826233
Morgan_745,0.0028746597237947623
Avalon_358,0.0028668390957300185
Morgan_483,0.0028430348548290725
Morgan_58,0.002842752807984732
Avalon_130,0.0028222543923263747
Morgan_493,0.0028016745701388806
Avalon_423,0.002793439704884582
Avalon_101,0.00277777059006733
Morgan_903,0.002766867726044357
Avalon_433,0.002762367721572908
Morgan_277,0.0027411771390747647
Avalon_102,0.0027275357669278074
Morgan_1004,0.0026981125617189616
Morgan_578,0.002693210046551997
Avalon_184,0.0026600896793760216
Morgan_253,0.002658210845690987
Avalon_401,0.002608772591122588
Avalon_17,0.0025848934544498966
Morgan_494,0.002552970744296127
Morgan_766,0.0025517181839263903
Morgan_416,0.0025357426340163495
Morgan_449,0.0025152625860160416
Morgan_284,0.002478919993398579
Morgan_1007,0.0024510570553349198
Morgan_125,0.002420827654676002
