feature,importance
PC_LogP,0.02431035840556292
QED_ALOGP,0.023705931652758482
GC_Mean,0.020603845668356154
Morgan_336,0.01871420109467804
GC_Std,0.01848965546888419
Avalon_272,0.015877948002995138
PC_FractionCSP3,0.014584917851237104
GC_Sum,0.013934202663582773
QED_MW,0.013427046630157645
PC_RigidityProxy,0.01328257356972086
Morgan_288,0.013247165466556852
QED_ROTB,0.012035048642886861
PC_NumAtoms,0.011109279714219725
PC_TPSA,0.010393756818126897
PC_RotB,0.010054485990800277
Morgan_392,0.009877572060937716
Morgan_628,0.00983764585520038
PC_MolWt,0.009696949631596386
Morgan_997,0.009358332224254693
QED_PSA,0.00934043608539808
Morgan_414,0.009299204936820335
Morgan_550,0.009125963499977354
PC_HeavyAtomCount,0.009074615507975961
Avalon_115,0.00888440749874498
Morgan_114,0.00788928394961087
Avalon_495,0.007799031203331071
PC_HBD,0.007691784877296773
Morgan_763,0.007132590023824217
Morgan_393,0.007042677222427435
Avalon_103,0.006862238547991208
Morgan_825,0.0063489196734451215
Morgan_11,0.006263004912533403
Avalon_487,0.006221863899852365
Avalon_461,0.006180051438374558
Avalon_122,0.006163484595505907
Avalon_463,0.006135063318544848
QED_HBA,0.006126295058829033
Morgan_263,0.005560186801264923
PC_HBA,0.005388609156666929
QED_HBD,0.005356182452812459
PC_Rings,0.005268740749646659
Morgan_832,0.00517556646807933
GC_Min,0.004760951282272329
Avalon_306,0.004732992384592687
Morgan_319,0.00465294385279146
Avalon_8,0.004607917280976981
Avalon_142,0.004468630009882621
Morgan_334,0.004207285607591809
Morgan_164,0.004050933122216834
QED_AROM,0.004049539852827915
Avalon_62,0.004009253484512458
Morgan_352,0.0038879350546491254
Morgan_749,0.0036884041109749386
Morgan_736,0.003552360733697894
QED_ALERTS,0.003463065371482756
Morgan_585,0.0033101557903552348
Avalon_209,0.0032676624146313316
Avalon_256,0.003263696237214272
Avalon_123,0.003249823069797571
Avalon_499,0.003239514330809265
Avalon_206,0.003231914772038264
Morgan_874,0.003223728860654333
Morgan_96,0.003215894159352034
Morgan_826,0.003203413560285037
Avalon_344,0.0031641275756205144
Morgan_79,0.0031499091331700963
Avalon_483,0.003073287726741473
Morgan_698,0.0030335719608140525
Morgan_511,0.0029868916854234244
Avalon_411,0.0029650390553942973
Morgan_5,0.0027409827126292723
Morgan_290,0.0027404575986906933
Avalon_141,0.0026606855604845055
Morgan_877,0.002494457872428718
Avalon_433,0.0024612590332268773
Morgan_345,0.0024486993416081813
Morgan_508,0.0024486902939224783
Avalon_169,0.002445770566555764
Avalon_431,0.0024427021767644574
Morgan_108,0.0024191980547564936
Morgan_730,0.002393313603204127
Avalon_14,0.0023392878122656517
GC_Max,0.002328580773549899
Morgan_62,0.002315643237978584
Morgan_608,0.002309444429870122
Morgan_280,0.002279017788354168
Avalon_184,0.0022788182970839097
Morgan_950,0.0022676544694712414
Avalon_3,0.002230011923006081
Morgan_245,0.002229007641671722
Avalon_311,0.0022166680788056462
Avalon_430,0.0021733674891258126
Morgan_824,0.002135428674506428
Morgan_483,0.002106938346163412
Morgan_639,0.002079098010336115
Avalon_469,0.0020607728319397903
Morgan_734,0.002059723683437692
Avalon_505,0.0020322127704207756
